maxRank,newRank,Nickname,UpdateTime,newScore,maxScore,listScore
1,13,---BASELINE---,2024-12-10 00:10:42,0.776955,0.796377,"[0.776955, 0.795765, 0.779185, 0.779169, 0.778161, 0.779185, 0.778161, 0.779169, 0.778141, 0.796377, 0.776955]"
2,36,kobe,2024-12-09 21:01:05,0.771871,0.795111,"[0.771871, 0.776544, 0.777581, 0.777581, 0.776543, 0.777568, 0.776559, 0.777567, 0.777581, 0.795111, 0.771871]"
3,1,落雪苏州,2024-12-09 09:51:49,0.778457,0.778558,"[0.778558, 0.776346, 0.776974, 0.776156, 0.777617, 0.77799, 0.778457]"
4,2,喜欢椽子的一颗榕树,2024-12-09 12:32:13,0.778231,0.778231,[0.778231]
5,3,无聊摸鱼,2024-12-04 15:59:01,0.778161,0.778161,[0.778161]
6,4,知识学爆,2024-12-09 11:39:47,0.77805,0.77805,[0.77805]
7,5,fyy,2024-12-08 12:41:19,0.777789,0.777789,[0.777789]
8,9,我要当太空人,2024-12-10 00:23:34,0.777473,0.777633,"[0.776668, 0.77667, 0.777383, 0.776467, 0.776498, 0.777189, 0.777633, 0.776435, 0.775941, 0.776421, 0.777473]"
9,6,别卷了ykd,2024-12-09 13:11:53,0.777612,0.777612,[0.777612]
10,7,俗人,2024-12-04 22:45:30,0.777607,0.777607,[0.777607]
11,8,KisE,2024-12-04 12:28:00,0.77749,0.77749,[0.77749]
12,15,Henry,2024-12-08 12:17:02,0.776871,0.777386,"[0.777386, 0.77546, 0.775688, 0.775489, 0.775489, 0.77617, 0.777057, 0.7768, 0.774179, 0.772859, 0.76999, 0.769607, 0.773678, 0.772706, 0.771244, 0.760274, 0.759019, 0.777213, 0.777042, 0.77717, 0.776871]"
13,10,credit.s,2024-11-30 20:42:23,0.777288,0.777288,[0.777288]
14,11,合乎,2024-12-10 01:02:35,0.77721,0.77721,"[0.774841, 0.77501, 0.776595, 0.776498, 0.767796, 0.776549, 0.776725, 0.776214, 0.776308, 0.776595, 0.776717, 0.777018, 0.77721]"
15,20,XiiTang,2024-12-09 12:49:58,0.776287,0.777144,"[0.777144, 0.777144, 0.775022, 0.776428, 0.776896, 0.776215, 0.776287]"
16,12,booomx,2024-12-06 21:41:05,0.777119,0.777119,[0.777119]
17,14,萧炎,2024-12-08 12:33:23,0.776876,0.776876,[0.776876]
18,16,让让我,2024-12-09 14:44:39,0.776766,0.776766,"[0.776766, 0.776766]"
19,17,oooooqqqqq,2024-12-09 00:41:09,0.77675,0.77675,[0.77675]
20,18,Guldan,2024-11-30 02:43:40,0.776702,0.776702,[0.776702]
21,19,Fermat,2024-12-03 21:46:35,0.776691,0.776691,[0.776691]
22,21,看看你的,2024-12-10 00:01:19,0.776228,0.776665,"[0.776448, 0.776665, 0.776618, 0.776363, 0.775681, 0.776106, 0.776239, 0.776168, 0.776323, 0.776013, 0.776228]"
23,22,roan,2024-11-29 15:55:50,0.776224,0.776224,[0.776224]
24,23,汐,2024-12-09 00:24:35,0.775209,0.775209,[0.775209]
25,24,旺旺队立大功,2024-12-07 11:40:41,0.775084,0.775084,[0.775084]
26,25,CV > LB,2024-11-28 10:44:23,0.775059,0.775059,[0.775059]
27,26,短腿柯基,2024-12-09 22:10:53,0.774781,0.774977,"[0.774487, 0.772958, 0.773917, 0.774942, 0.774977, 0.774236, 0.772683, 0.774411, 0.774359, 0.774781, 0.774781]"
