Rank,Nickname,UpdataTime,Score
1,落雪苏州,2024-12-09 09:51:49,0.778558
2,喜欢椽子的一颗榕树,2024-12-09 12:32:13,0.778231
3,无聊摸鱼,2024-12-04 15:59:01,0.778161
4,知识学爆,2024-12-09 11:39:47,0.77805
5,fyy,2024-12-08 12:41:19,0.777789
6,别卷了ykd,2024-12-09 13:11:53,0.777612
7,俗人,2024-12-04 22:45:30,0.777607
8,KisE,2024-12-04 12:28:00,0.77749
9,Henry,2024-12-08 12:17:02,0.777386
10,credit.s,2024-11-30 20:42:23,0.777288
11,XiiTang,2024-12-09 12:49:58,0.777144
12,booomx,2024-12-06 21:41:05,0.777119
13,---BASELINE---,2024-12-09 10:44:49,0.776955
14,萧炎,2024-12-08 12:33:23,0.776876
15,让让我,2024-12-09 14:44:39,0.776766
16,oooooqqqqq,2024-12-09 00:41:09,0.77675
17,Guldan,2024-11-30 02:43:40,0.776702
18,Fermat,2024-12-03 21:46:35,0.776691
19,我要当太空人,2024-12-09 12:42:34,0.776668
20,看看你的,2024-12-09 10:50:21,0.776448
21,roan,2024-11-29 15:55:50,0.776224
22,汐,2024-12-09 00:24:35,0.775209
23,旺旺队立大功,2024-12-07 11:40:41,0.775084
24,CV > LB,2024-11-28 10:44:23,0.775059
25,合乎,2024-12-09 15:23:08,0.774841
26,三只阿基,2024-12-06 15:17:35,0.774754
27,短腿柯基,2024-12-03 12:29:18,0.774487
28,KDB,2024-12-09 10:46:39,0.774181
29,bo,2024-12-04 04:21:26,0.774163
37,真的很难啊,2024-12-09 15:25:54,0.774113
30,广告位招租,2024-12-08 14:39:13,0.774071
31,顾宇欣,2024-12-07 17:26:07,0.773916
42,女娲大王,2024-12-09 16:52:34,0.773263
32,五条悟大帅锅,2024-12-02 17:26:36,0.773011
33,Kise2,2024-12-04 17:24:41,0.772697
34,casual,2024-12-05 22:31:37,0.772474
35,kobe,2024-12-08 18:47:53,0.771871
36,otter,2024-12-08 14:25:37,0.771488
38,谁是山里灵活的狗？,2024-12-01 20:15:30,0.771156
39,HELLO WORLD,2024-12-04 14:10:34,0.771149
40,阿涵,2024-12-01 16:55:48,0.770479
41,涨停板敢死队队员,2024-12-08 18:02:34,0.768796
43,咩咩咩子,2024-12-02 23:41:44,0.768296
44,超级无敌建模大王,2024-12-09 11:27:48,0.767715
