newRank,maxRank,Nickname,UpdateTime,newScore,maxScore
1,3,喜欢椽子的一颗榕树,2024-12-09 12:32:13,0.778231,0.778231
2,4,无聊摸鱼,2024-12-04 15:59:01,0.778161,0.778161
3,5,知识学爆,2024-12-09 11:39:47,0.77805,0.77805
4,6,fyy,2024-12-08 12:41:19,0.777789,0.777789
5,7,别卷了ykd,2024-12-09 13:11:53,0.777612,0.777612
6,8,俗人,2024-12-04 22:45:30,0.777607,0.777607
7,9,KisE,2024-12-04 12:28:00,0.77749,0.77749
8,11,credit.s,2024-11-30 20:42:23,0.777288,0.777288
9,13,booomx,2024-12-06 21:41:05,0.777119,0.777119
10,10,Henry,2024-12-09 21:30:48,0.777057,0.777386
11,2,落雪苏州,2024-12-09 17:17:08,0.776974,0.778558
12,14,---BASELINE---,2024-12-09 10:44:49,0.776955,0.776955
13,15,萧炎,2024-12-08 12:33:23,0.776876,0.776876
14,16,让让我,2024-12-09 15:30:23,0.776766,0.776766
15,17,oooooqqqqq,2024-12-09 00:41:09,0.77675,0.77675
16,18,Guldan,2024-11-30 02:43:40,0.776702,0.776702
17,19,Fermat,2024-12-03 21:46:35,0.776691,0.776691
18,20,我要当太空人,2024-12-09 12:42:34,0.776668,0.776668
19,21,合乎,2024-12-09 18:05:49,0.776595,0.776595
20,22,看看你的,2024-12-09 10:50:21,0.776448,0.776448
21,12,XiiTang,2024-12-09 19:03:46,0.776428,0.777144
22,23,roan,2024-11-29 15:55:50,0.776224,0.776224
23,24,汐,2024-12-09 00:24:35,0.775209,0.775209
24,25,旺旺队立大功,2024-12-07 11:40:41,0.775084,0.775084
25,26,CV > LB,2024-11-28 10:44:23,0.775059,0.775059
26,27,三只阿基,2024-12-06 15:17:35,0.774754,0.774754
27,29,KDB,2024-12-09 10:46:39,0.774181,0.774181
28,30,bo,2024-12-04 04:21:26,0.774163,0.774163
29,31,真的很难啊,2024-12-09 15:25:54,0.774113,0.774113
30,32,广告位招租,2024-12-08 14:39:13,0.774071,0.774071
31,33,顾宇欣,2024-12-07 17:26:07,0.773916,0.773916
32,35,五条悟大帅锅,2024-12-02 17:26:36,0.773011,0.773011
33,28,短腿柯基,2024-12-09 20:53:41,0.772958,0.774487
34,36,Kise2,2024-12-04 17:24:41,0.772697,0.772697
35,37,casual,2024-12-05 22:31:37,0.772474,0.772474
36,1,kobe,2024-12-09 21:01:38,0.771871,0.795111
37,38,otter,2024-12-08 14:25:37,0.771488,0.771488
38,39,谁是山里灵活的狗？,2024-12-01 20:15:30,0.771156,0.771156
39,40,HELLO WORLD,2024-12-04 14:10:34,0.771149,0.771149
40,41,阿涵,2024-12-01 16:55:48,0.770479,0.770479
41,42,涨停板敢死队队员,2024-12-08 18:02:34,0.768796,0.768796
42,43,咩咩咩子,2024-12-02 23:41:44,0.768296,0.768296
43,44,超级无敌建模大王,2024-12-09 11:27:48,0.767715,0.767715
44,45,llllllllllllllllllllllllllllllllllllllllllllllll,2024-12-08 18:50:03,0.767275,0.767275
45,46,三夕,2024-12-03 23:36:23,0.766783,0.766783
46,47,XX的后面是什么,2024-11-27 00:51:43,0.766595,0.766595
47,48,准点下班,2024-11-29 13:08:52,0.76399,0.76399
48,49,JasonC,2024-11-29 08:32:27,0.763763,0.763763
49,50,zpr,2024-12-04 21:43:31,0.763689,0.763689
50,51,颠婆,2024-11-30 23:22:32,0.762823,0.762823
51,52,CREEP,2024-12-07 04:34:48,0.762813,0.762813
52,53,拼尽全力也无法战胜,2024-12-06 11:25:11,0.762765,0.762765
53,54,自己~吓~自己,2024-12-05 22:59:02,0.759933,0.759933
54,55,ZBT,2024-12-03 22:39:29,0.746061,0.746061
55,56,无期,2024-12-04 18:09:23,0.744206,0.744206
56,57,xiaomingooo,2024-12-09 20:02:03,0.741035,0.741035
57,58,小狗不吃芹菜,2024-11-27 22:44:02,0.736407,0.736407
58,59,dhoao,2024-12-04 15:02:32,0.731559,0.731559
59,60,nicetomeetyou,2024-12-09 13:07:36,0.7278,0.7278
60,61,draeb,2024-12-09 15:21:00,0.704709,0.704709
61,34,女娲大王,2024-12-09 18:41:02,0.703557,0.773263
62,62,Sakura,2024-12-07 23:56:55,0.632332,0.632332
63,63,beautiy,2024-12-09 21:00:02,0.617263,0.617263
64,64,nnnnakosuki,2024-12-08 21:33:30,0.615575,0.615575
65,65,Kkxx,2024-12-07 12:55:13,0.608642,0.608642
66,66,Queennevercry,2024-12-08 22:41:37,0.606644,0.606644
67,67,hao,2024-11-28 13:22:50,0.605904,0.605904
68,68,Carol,2024-12-04 14:28:08,0.604434,0.604434
69,70,小红书,2024-12-08 11:23:18,0.60188,0.60188
70,71,她说是酱油染的,2024-12-02 19:06:10,0.600973,0.600973
71,72,聪明,2024-12-03 10:42:56,0.600432,0.600432
72,73,Zzzzzzz,2024-12-01 21:12:48,0.598687,0.598687
73,74,hhhhh,2024-11-27 22:07:25,0.597307,0.597307
74,75,Liii777,2024-12-09 21:10:05,0.596632,0.596632
75,76,狸CL,2024-12-08 17:25:33,0.596345,0.596345
76,77,俯仰之间,2024-12-09 11:01:16,0.596077,0.596077
77,78,根本打不赢,2024-11-30 13:13:31,0.594542,0.594542
78,79,闪电,2024-11-29 15:41:55,0.590375,0.590375
79,80,想不起来名,2024-12-08 00:20:13,0.585561,0.585561
80,81,光岚岚,2024-12-03 22:36:42,0.585529,0.585529
81,82,JOLY,2024-12-04 13:41:25,0.584108,0.584108
82,83,半夜吃苹果,2024-12-03 22:31:47,0.581038,0.581038
83,84,Sennheiser,2024-12-09 13:52:44,0.577511,0.577511
84,101,默.,2024-12-04 16:34:39,0.576048,0.576048
85,117,Florence Vision,2024-12-03 22:30:45,0.576048,0.576048
86,103,文艺小青年,2024-12-06 01:11:33,0.576048,0.576048
87,104,lulu 露,2024-12-03 23:30:15,0.576048,0.576048
88,105,hz,2024-12-09 17:16:55,0.576048,0.576048
89,106,Corn poppy,2024-12-03 22:58:01,0.576048,0.576048
90,107,梁沐茜,2024-12-05 22:28:00,0.576048,0.576048
91,108,Vesper,2024-12-03 22:55:22,0.576048,0.576048
92,110,思觉失调,2024-12-03 22:23:14,0.576048,0.576048
93,109,李姝瑶,2024-12-03 22:32:29,0.576048,0.576048
94,111,zyq,2024-12-03 22:31:14,0.576048,0.576048
95,112,incentive,2024-12-03 22:30:42,0.576048,0.576048
96,113,微凉,2024-12-08 17:17:23,0.576048,0.576048
97,114,Star---,2024-12-03 23:35:07,0.576048,0.576048
98,115,每天都很想飞,2024-12-03 22:46:00,0.576048,0.576048
99,116,And,2024-12-03 22:14:41,0.576048,0.576048
100,102,atmtdykkxxy,2024-12-03 22:34:11,0.576048,0.576048
101,93,I_yln,2024-12-03 22:33:59,0.576048,0.576048
102,100,小猪猪,2024-12-03 22:33:09,0.576048,0.576048
103,91,22t,2024-12-03 22:26:05,0.576048,0.576048
104,85,一只小y,2024-12-03 22:21:53,0.576048,0.576048
105,86,mmmjy,2024-12-03 22:45:24,0.576048,0.576048
106,87,vera,2024-12-03 23:49:10,0.576048,0.576048
107,99,Devin,2024-12-03 22:48:16,0.576048,0.576048
108,89,梁宇乐,2024-12-03 22:33:42,0.576048,0.576048
109,90,拉布拉多,2024-12-03 22:17:32,0.576048,0.576048
110,88,J=J,2024-12-03 22:33:12,0.576048,0.576048
111,92,IceBear,2024-12-03 22:40:13,0.576048,0.576048
112,94,雨璘,2024-12-03 22:21:57,0.576048,0.576048
113,95,Zia,2024-12-03 22:48:51,0.576048,0.576048
114,96,东kkkkkk,2024-12-03 22:35:26,0.576048,0.576048
115,97,易安,2024-12-03 22:17:23,0.576048,0.576048
116,98,鹤望兰,2024-12-03 22:28:59,0.576048,0.576048
117,118,xu,2024-11-26 09:24:40,0.562061,0.562061
118,119,asasdi,2024-12-05 22:26:15,0.540824,0.540824
